country,latitude,longitude,continent,reg_latitude,reg_longitude,ISO3,REGION,GEO3
Eritrea,15.179384,39.782334,Africa,8.7832,29.5085,ERI,Africa,Eastern Africa
Spain,40.463667,-3.74922,Europe,48.499998,18.3833318,ESP,Europe,Western Europe
Ethiopia,9.145,40.489673,Africa,8.7832,29.5085,ETH,Africa,Eastern Africa
Finland,61.92411,25.748151,Europe,48.499998,18.3833318,FIN,Europe,Western Europe
Fiji,-16.578193,179.414413,Oceania,-25.2744,148.7751,FJI,Australia,South Pacific
Falkland Islands [Islas Malvinas],-51.796253,-59.523613,South America,-8.7832,-55.4915,FLK,South America,South America
Micronesia,7.425554,150.550812,Oceania,-25.2744,148.7751,FSM,Australia,South Pacific
Faroe Islands,61.892635,-6.911806,Europe,48.499998,18.3833318,FRO,Europe,Western Europe
France,46.227638,2.213749,Europe,48.499998,18.3833318,FRA,Europe,Western Europe
Gabon,-0.803689,11.609444,Africa,8.7832,29.5085,GAB,Africa,Central Africa
United Kingdom,55.378051,-3.435973,Europe,48.499998,18.3833318,GBR,Europe,Western Europe
Grenada,12.262776,-61.604171,Caribbean,21.4691,-78.6569,GRD,South America,Caribbean
Georgia,42.315407,43.356892,Europe,48.499998,18.3833318,GEO,Europe,Eastern Europe
French Guiana,3.933889,-53.125782,South America,-8.7832,-55.4915,GUF,South America,South America
Guernsey,49.465691,-2.585278,Europe,48.499998,18.3833318,GGY,Europe,Western Europe
Ghana,7.946527,-1.023194,Africa,8.7832,29.5085,GHA,Africa,Western Africa
Gibraltar,36.137741,-5.345374,Europe,48.499998,18.3833318,,Europe,Western Europe
Greenland,71.706936,-42.604303,North America,48.3544,-99.9981,GRL,Europe,Polar
Gambia,13.443182,-15.310139,Africa,8.7832,29.5085,GMB,Africa,Western Africa
Guinea,9.945587,-9.696645,Africa,8.7832,29.5085,GIN,Africa,Western Africa
Guadeloupe,16.995971,-62.067641,Caribbean,21.4691,-78.6569,,South America,Caribbean
Equatorial Guinea,1.650801,10.267895,Africa,8.7832,29.5085,GNQ,Africa,Central Africa
Greece,39.074208,21.824312,Europe,48.499998,18.3833318,GRC,Europe,Western Europe
South Georgia and the South Sandwich Islands,-54.429579,-36.587909,South America,-8.7832,-55.4915,SGS,Europe,Western Europe
Guatemala,15.783471,-90.230759,Central America,12.769,-85.6024,GTM,South America,Meso-America
Guam,13.444304,144.793731,Oceania,-25.2744,148.7751,GUM,Australia,South Pacific
Guinea-Bissau,11.803749,-15.180413,Africa,8.7832,29.5085,GNB,Africa,Western Africa
Guyana,4.860416,-58.93018,South America,-8.7832,-55.4915,GUY,South America,South America
Gaza Strip,31.354676,34.308825,Middle East,29.2985,42.551,Gaza,Europe,Western Europe
Hong Kong,22.396428,114.109497,East Asia,38.7946,106.5348,HMD,Asia,NW Pacific and East Asia
Heard Island and McDonald Islands,-53.08181,73.504158,Africa,8.7832,29.5085,HMD,Africa,Western Indian Ocean
Honduras,15.199999,-86.241905,Central America,12.769,-85.6024,HND,South America,Meso-America
Croatia,45.1,15.2,Europe,48.499998,18.3833318,HRV,Europe,Central Europe
Haiti,18.971187,-72.285215,Caribbean,21.4691,-78.6569,HTI,South America,Caribbean
Hungary,47.162494,19.503304,Europe,48.499998,18.3833318,HUN,Europe,Central Europe
Indonesia,-0.789275,113.921327,East Asia,38.7946,106.5348,IDN,Asia,Southeast Asia
Ireland,53.41291,-8.24389,Europe,48.499998,18.3833318,IRL,Europe,Western Europe
Israel,31.046051,34.851612,Middle East,29.2985,42.551,ISR,Asia,Mashriq
Isle of Man,54.236107,-4.548056,Europe,48.499998,18.3833318,IMN,Europe,Western Europe
India,20.593684,78.96288,East Asia,38.7946,106.5348,IND,Asia,South Asia
British Indian Ocean Territory,-6.343194,71.876519,East Asia,38.7946,106.5348,IOT,Europe,Western Indian Ocean
Iraq,33.223191,43.679291,Middle East,29.2985,42.551,IRQ,Asia,Mashriq
Iran,32.427908,53.688046,Middle East,29.2985,42.551,IRN,Asia,South Asia
Iceland,64.963051,-19.020835,Europe,48.499998,18.3833318,ISL,Europe,Western Europe
Italy,41.87194,12.56738,Europe,48.499998,18.3833318,ITA,Europe,Western Europe
Jersey,49.214439,-2.13125,Europe,48.499998,18.3833318,JEY,Europe,Western Europe
Jamaica,18.109581,-77.297508,Caribbean,21.4691,-78.6569,JAM,South America,Caribbean
Jordan,30.585164,36.238414,Middle East,29.2985,42.551,JOR,Asia,Mashriq
